epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1153,2.35616,3.56629,1.61232,0.31794,0.19423,0.1754,0.0746,2.22903,2.65662,1.42287,0.0032967,0.0032967,0.0032967
2,14.7293,2.02104,2.06528,1.39236,0.42492,0.34389,0.31624,0.13076,2.06898,2.00875,1.32384,0.00662347,0.00662347,0.00662347
3,19.3718,1.97316,1.72542,1.38389,0.49297,0.37742,0.37625,0.16789,2.00302,1.82263,1.25869,0.00994364,0.00994364,0.00994364
4,23.9947,1.92338,1.58022,1.3329,0.51991,0.43625,0.42623,0.17285,2.04836,1.60345,1.27711,0.0099703,0.0099703,0.0099703
5,28.7887,1.84553,1.46796,1.29074,0.54193,0.42752,0.44322,0.19639,1.99521,1.58916,1.23649,0.0099604,0.0099604,0.0099604
6,33.5628,1.77165,1.42382,1.25837,0.57817,0.48731,0.48373,0.22106,1.87246,1.49823,1.23956,0.0099505,0.0099505,0.0099505
7,38.4145,1.6939,1.36822,1.24311,0.57201,0.50856,0.50744,0.24989,1.74138,1.45782,1.16692,0.0099406,0.0099406,0.0099406
8,43.1,1.65657,1.31478,1.22209,0.6096,0.52648,0.53477,0.26679,1.72738,1.40023,1.14396,0.0099307,0.0099307,0.0099307
9,47.7877,1.67582,1.28709,1.19567,0.64166,0.53924,0.56493,0.2949,1.6398,1.34773,1.10799,0.0099208,0.0099208,0.0099208
10,52.5015,1.60731,1.24366,1.18376,0.66543,0.54291,0.58439,0.30705,1.62951,1.32224,1.10416,0.0099109,0.0099109,0.0099109
11,57.1233,1.57179,1.22625,1.18191,0.65666,0.54767,0.57611,0.28281,1.71664,1.31391,1.13876,0.009901,0.009901,0.009901
12,61.7766,1.58022,1.19541,1.16888,0.65663,0.55534,0.58978,0.29481,1.71087,1.30704,1.12189,0.0098911,0.0098911,0.0098911
13,66.4205,1.552,1.17441,1.16233,0.69039,0.55299,0.58942,0.31699,1.57395,1.26014,1.09686,0.0098812,0.0098812,0.0098812
14,71.104,1.53705,1.17523,1.15609,0.68194,0.56868,0.6027,0.32185,1.60769,1.24724,1.11405,0.0098713,0.0098713,0.0098713
15,75.8846,1.54178,1.16189,1.15458,0.65782,0.5835,0.59369,0.31501,1.64183,1.257,1.14711,0.0098614,0.0098614,0.0098614
16,80.668,1.52431,1.13592,1.14514,0.69728,0.58026,0.62631,0.32699,1.62827,1.2255,1.08296,0.0098515,0.0098515,0.0098515
17,85.377,1.51106,1.11744,1.13559,0.72304,0.57863,0.63413,0.34412,1.55775,1.20027,1.07223,0.0098416,0.0098416,0.0098416
